"__fastGreedyCluster","Description","Enzyme.Names","GO.IDs","id","InterPro.GO.Names","InterPro.IDs","name","selected","shared name","species"
"64","LBP / BPI / CETP family protein","","F:GO:0008289","g4489.pdb","F:lipid binding","IPR017942 (PFAM); G3DSA:3.15.20.10 (GENE3D); G3DSA:3.15.10.10 (GENE3D); IPR001124 (PFAM); IPR032942 (PANTHER); PTHR10504:SF135 (PANTHER); IPR017943 (SUPERFAMILY); IPR017943 (SUPERFAMILY)","g4489.pdb","false","g4489.pdb","Mchit"
"39","Putative phospholipase B-like 2","Acting on ester bonds","P:GO:0007186; P:GO:0016042; F:GO:0004620; F:GO:0004930; C:GO:0016020","g4483.pdb","F:phospholipase activity","G3DSA:3.60.60.30 (GENE3D); IPR007000 (PFAM); PTHR12370:SF8 (PANTHER); IPR007000 (PANTHER)","g4483.pdb","false","g4483.pdb","Mchit"
"39","Putative phospholipase B-like 2","Acting on ester bonds","P:GO:0007165; P:GO:0016042; F:GO:0004620; C:GO:0016021","g4481.pdb","F:phospholipase activity","IPR007000 (PFAM); G3DSA:3.60.60.30 (GENE3D); IPR007000 (PANTHER); PTHR12370:SF8 (PANTHER)","g4481.pdb","false","g4481.pdb","Mchit"
"94","Peptidase A1 domain-containing protein","Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0004190","g4450.pdb","P:proteolysis; F:aspartic-type endopeptidase activity","IPR001461 (PRINTS); IPR033121 (PFAM); IPR021109 (G3DSA:2.40.70.GENE3D); IPR021109 (G3DSA:2.40.70.GENE3D); PTHR47966:SF45 (PANTHER); IPR001461 (PANTHER); IPR033121 (PROSITE_PROFILES); IPR034164 (CDD); IPR021109 (SUPERFAMILY)","g4450.pdb","false","g4450.pdb","Mchit"
"95","DNA-directed RNA polymerase subunit beta","","C:GO:0016020","g443.pdb","no IPS match","no IPS match","g443.pdb","false","g443.pdb","Mchit"
"67","Metallophos domain-containing protein","Hydrolases","F:GO:0016787","g4434.pdb","F:hydrolase activity","IPR004843 (PFAM); IPR029052 (G3DSA:3.60.21.GENE3D); cd00838 (CDD); IPR029052 (SUPERFAMILY)","g4434.pdb","false","g4434.pdb","Mchit"
"72","Serine carboxypeptidase ctsa-1.1","Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0004185","g4403.pdb","P:proteolysis; F:serine-type carboxypeptidase activity","IPR001563 (PRINTS); IPR001563 (PFAM); IPR029058 (G3DSA:3.40.50.GENE3D); IPR001563 (PANTHER); PTHR11802:SF388 (PANTHER); IPR029058 (SUPERFAMILY)","g4403.pdb","false","g4403.pdb","Mchit"
"33","beta-1,4-endoglucanase","Cellulase","P:GO:0030245; F:GO:0008810; F:GO:0030247","g4382.pdb","P:organic substance metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds","IPR001547 (PFAM); G3DSA:3.20.20.80 (GENE3D); IPR017853 (SUPERFAMILY)","g4382.pdb","false","g4382.pdb","Mchit"
"96","Peptidase_M13 domain-containing protein","Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0004222; F:GO:0046872; C:GO:0016021","g4380.pdb","P:proteolysis; F:metalloendopeptidase activity; F:metallopeptidase activity","IPR018497 (PRINTS); IPR008753 (PFAM); IPR018497 (PFAM); IPR024079 (G3DSA:3.40.390.GENE3D); IPR042089 (G3DSA:1.10.1380.GENE3D); PTHR11733:SF216 (PANTHER); IPR000718 (PANTHER); IPR000718 (PROSITE_PROFILES); IPR000718 (CDD); SSF55486 (SUPERFAMILY)","g4380.pdb","false","g4380.pdb","Mchit"
"5","hypothetical protein Mgra_00005311","","","g437.pdb","no IPS match","no IPS match","g437.pdb","false","g437.pdb","Mchit"
"2","Pept_C1 domain-containing protein","Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0008234","g4355.pdb","P:proteolysis; F:cysteine-type peptidase activity","IPR000668 (PFAM); G3DSA:3.90.70.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR12411 (PANTHER); PTHR12411:SF547 (PANTHER); IPR038765 (SUPERFAMILY)","g4355.pdb","false","g4355.pdb","Mchit"
"97","putative effector protein","Hydrolases","P:GO:0006508; F:GO:0008236","g4338.pdb","P:proteolysis; F:serine-type peptidase activity","IPR008758 (PFAM); IPR029058 (G3DSA:3.40.50.GENE3D); IPR042269 (G3DSA:1.20.120.GENE3D); PTHR11010:SF97 (PANTHER); PTHR11010 (PANTHER); IPR029058 (SUPERFAMILY); IPR029058 (SUPERFAMILY)","g4338.pdb","false","g4338.pdb","Mchit"
"5","chorismate mutase precursor protein","","P:GO:0046417","g4315.pdb","P:chorismate metabolic process","IPR036979 (G3DSA:1.20.59.GENE3D); IPR036263 (SUPERFAMILY)","g4315.pdb","false","g4315.pdb","Mchit"
"3","hypothetical protein Mgra_00007613, partial","","","g4314.pdb","no IPS match","no IPS match","g4314.pdb","false","g4314.pdb","Mchit"
"3","hypothetical protein Mgra_00007613, partial","","","g4309.pdb","no IPS match","no IPS match","g4309.pdb","false","g4309.pdb","Mchit"
"7","---NA---","","","g428.pdb","no GO terms","mobidb-lite (MOBIDB_LITE)","g428.pdb","false","g428.pdb","Mchit"
"33","endoglucanase-2 precursor","Cellulase","P:GO:0030245; F:GO:0008810; F:GO:0030247","g4289.pdb","P:organic substance metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds","IPR001547 (PFAM); G3DSA:3.20.20.80 (GENE3D); PTHR34142 (PANTHER); PTHR34142:SF1 (PANTHER); IPR017853 (SUPERFAMILY)","g4289.pdb","false","g4289.pdb","Mchit"
"7","unnamed protein product","","","g4286.pdb","no IPS match","no IPS match","g4286.pdb","false","g4286.pdb","Mchit"
"2","---NA---","","","g4279.pdb","no IPS match","no IPS match","g4279.pdb","false","g4279.pdb","Mchit"
"5","unnamed protein product","","C:GO:0016020; C:GO:0016021","g4274.pdb","no IPS match","no IPS match","g4274.pdb","false","g4274.pdb","Mchit"
"5","Protein C39E9.8, isoform e","","F:GO:0016747; C:GO:0016020; C:GO:0016021","g4264.pdb","no IPS match","no IPS match","g4264.pdb","false","g4264.pdb","Mchit"
"4","---NA---","","","g4247.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g4247.pdb","false","g4247.pdb","Mchit"
"3","---NA---","","","g4229.pdb","no IPS match","no IPS match","g4229.pdb","false","g4229.pdb","Mchit"
"5","hypothetical protein Mgra_00008574","","","g4209.pdb","no IPS match","no IPS match","g4209.pdb","false","g4209.pdb","Mchit"
"14","cuticular protein 47Ef","","C:GO:0005892","g419.pdb","C:acetylcholine-gated channel complex","G3DSA:3.10.310.50 (GENE3D); IPR033438 (PFAM); PTHR33748 (PANTHER); PTHR33748:SF6 (PANTHER)","g419.pdb","false","g419.pdb","Mchit"
"33","Cellulase domain-containing protein","Cellulase","P:GO:0005975; F:GO:0008810; C:GO:0016021","g4196.pdb","P:organic substance metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds","IPR001547 (PFAM); G3DSA:3.20.20.80 (GENE3D); IPR017853 (SUPERFAMILY)","g4196.pdb","false","g4196.pdb","Mchit"
"5","hypothetical protein Mgra_00008559, partial","","","g4194.pdb","no IPS match","no IPS match","g4194.pdb","false","g4194.pdb","Mchit"
"2","hypothetical protein Mgra_00008558","","","g4191.pdb","no IPS match","no IPS match","g4191.pdb","false","g4191.pdb","Mchit"
"19","matrix metalloproteinase","","C:GO:0016020","g418.pdb","no GO terms","IPR036375 (G3DSA:2.110.10.GENE3D); IPR036375 (SUPERFAMILY)","g418.pdb","false","g418.pdb","Mchit"
"33","Cellulase domain-containing protein","Cellulase","P:GO:0071704; F:GO:0008810; C:GO:0016021","g4189.pdb","P:organic substance metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds","G3DSA:3.20.20.80 (GENE3D); IPR001547 (PFAM); IPR017853 (SUPERFAMILY)","g4189.pdb","false","g4189.pdb","Mchit"
"52","CRE-PQN-32 protein","","C:GO:0016021","g4180.pdb","no GO terms","IPR002602 (PFAM)","g4180.pdb","false","g4180.pdb","Mchit"
"54","hypothetical protein Mgra_00002909","","","g4164.pdb","no GO terms","SSF57302 (SUPERFAMILY)","g4164.pdb","false","g4164.pdb","Mchit"
"5","unnamed protein product","","C:GO:0016020; C:GO:0016021","g4161.pdb","no IPS match","no IPS match","g4161.pdb","false","g4161.pdb","Mchit"
"66","SCP domain-containing protein","","C:GO:0005576","g415.pdb","no GO terms","IPR001283 (PRINTS); IPR035940 (G3DSA:3.40.33.GENE3D); IPR014044 (PFAM); IPR001283 (PANTHER); PTHR10334:SF451 (PANTHER); cd05380 (CDD); IPR035940 (SUPERFAMILY)","g415.pdb","false","g415.pdb","Mchit"
"72","Serine carboxypeptidase ctsa-1.1","Acting on peptide bonds (peptidases); Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0004185; F:GO:0005509","g4143.pdb","P:proteolysis; F:serine-type carboxypeptidase activity","IPR001563 (PRINTS); IPR001563 (PFAM); IPR029058 (G3DSA:3.40.50.GENE3D); IPR001563 (PANTHER); PTHR11802:SF388 (PANTHER); IPR029058 (SUPERFAMILY)","g4143.pdb","false","g4143.pdb","Mchit"
"5","unnamed protein product","","","g412.pdb","no IPS match","no IPS match","g412.pdb","false","g412.pdb","Mchit"
"63","unnamed protein product","","","g4124.pdb","no IPS match","no IPS match","g4124.pdb","false","g4124.pdb","Mchit"
"98","unnamed protein product","","","g4099.pdb","no GO terms","IPR029052 (G3DSA:3.60.21.GENE3D)","g4099.pdb","false","g4099.pdb","Mchit"
"25","acid phosphatase","","C:GO:0005576; C:GO:0009986; C:GO:0016021","g4060.pdb","C:cell surface","IPR038479 (G3DSA:2.60.40.GENE3D); IPR029033 (G3DSA:3.40.50.GENE3D); IPR000560 (PFAM); IPR001534 (PFAM); PTHR11567 (PANTHER); PTHR11567:SF191 (PANTHER); IPR000560 (CDD); IPR029033 (SUPERFAMILY)","g4060.pdb","false","g4060.pdb","Mchit"
"4","candidate secreted effector Minc04712","","","g4037.pdb","no IPS match","no IPS match","g4037.pdb","false","g4037.pdb","Mchit"
"4","unnamed protein product","","C:GO:0016020; C:GO:0016021","g4028.pdb","no IPS match","no IPS match","g4028.pdb","false","g4028.pdb","Mchit"
"4","hypothetical protein Mgra_00005778","","","g4022.pdb","no IPS match","no IPS match","g4022.pdb","false","g4022.pdb","Mchit"
"2","hypothetical protein Mgra_00005778","","","g4021.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g4021.pdb","false","g4021.pdb","Mchit"
"5","hypothetical protein Mgra_00005778","","","g4020.pdb","no GO terms","mobidb-lite (MOBIDB_LITE)","g4020.pdb","false","g4020.pdb","Mchit"
"77","Lipase EstA/Esterase EstB family-containing protein","Acting on ester bonds","P:GO:0016042; F:GO:0016298; C:GO:0016021","g4016.pdb","P:lipid catabolic process; F:hydrolase activity","IPR002918 (PFAM); IPR029058 (G3DSA:3.40.50.GENE3D); PTHR32015:SF5 (PANTHER); IPR002918 (PANTHER); IPR029058 (SUPERFAMILY)","g4016.pdb","false","g4016.pdb","Mchit"
"54","---NA---","","","g4015.pdb","no IPS match","no IPS match","g4015.pdb","false","g4015.pdb","Mchit"
"54","---NA---","","","g4012.pdb","no IPS match","no IPS match","g4012.pdb","false","g4012.pdb","Mchit"
"54","---NA---","","","g4010.pdb","no IPS match","no IPS match","g4010.pdb","false","g4010.pdb","Mchit"
"2","hypothetical protein Mgra_00005196","","","g3992.pdb","no IPS match","no IPS match","g3992.pdb","false","g3992.pdb","Mchit"
"4","unnamed protein product","","","g3969.pdb","no IPS match","no IPS match","g3969.pdb","false","g3969.pdb","Mchit"
"5","Protein fantom","","C:GO:0016021","g3968.pdb","no IPS match","no IPS match","g3968.pdb","false","g3968.pdb","Mchit"
"99","GST_C_6 domain-containing protein","","C:GO:0016020; C:GO:0016021","g3967.pdb","no IPS match","no IPS match","g3967.pdb","false","g3967.pdb","Mchit"
"35","hypothetical protein Mgra_00009648, partial","","F:GO:0030246","g3949.pdb","F:carbohydrate binding","G3DSA:2.60.120.200 (GENE3D); G3DSA:2.60.120.200 (GENE3D); IPR001079 (PFAM); IPR015534 (PTHR11346:PANTHER); IPR044156 (PANTHER); IPR015534 (PTHR11346:PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR001079 (CDD); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY)","g3949.pdb","false","g3949.pdb","Mchit"
"35","hypothetical protein Mgra_00009648, partial","","F:GO:0030246","g3947.pdb","F:carbohydrate binding","G3DSA:2.60.120.200 (GENE3D); IPR001079 (PFAM); G3DSA:2.60.120.200 (GENE3D); IPR044156 (PANTHER); IPR044156 (PANTHER); PTHR11346:SF80 (PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR001079 (CDD); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY)","g3947.pdb","false","g3947.pdb","Mchit"
"35","hypothetical protein Mgra_00009648, partial","","F:GO:0030246","g3945.pdb","F:carbohydrate binding","IPR001079 (PFAM); G3DSA:2.60.120.200 (GENE3D); G3DSA:2.60.120.200 (GENE3D); IPR044156 (PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR001079 (CDD); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY)","g3945.pdb","false","g3945.pdb","Mchit"
"35","hypothetical protein Mgra_00004739","","F:GO:0030246","g3944.pdb","F:carbohydrate binding","G3DSA:2.60.120.200 (GENE3D); IPR001079 (PFAM); G3DSA:2.60.120.200 (GENE3D); IPR044156 (PANTHER); PTHR11346:SF80 (PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY)","g3944.pdb","false","g3944.pdb","Mchit"
"35","hypothetical protein Mgra_00004739","","F:GO:0030246","g3925.pdb","F:carbohydrate binding","G3DSA:2.60.120.200 (GENE3D); G3DSA:2.60.120.200 (GENE3D); IPR001079 (PFAM); G3DSA:2.60.120.200 (GENE3D); IPR044156 (PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR001079 (CDD); IPR001079 (CDD); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY)","g3925.pdb","false","g3925.pdb","Mchit"
"35","hypothetical protein Mgra_00009648, partial","","F:GO:0030246","g3924.pdb","F:carbohydrate binding","G3DSA:2.60.120.200 (GENE3D); IPR001079 (PFAM); G3DSA:2.60.120.200 (GENE3D); IPR044156 (PANTHER); PTHR11346:SF80 (PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR001079 (CDD); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY)","g3924.pdb","false","g3924.pdb","Mchit"
"35","hypothetical protein Mgra_00009648, partial","","F:GO:0030246","g3891.pdb","F:carbohydrate binding","G3DSA:2.60.120.200 (GENE3D); G3DSA:2.60.120.200 (GENE3D); IPR001079 (PFAM); IPR044156 (PANTHER); PTHR11346:SF80 (PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY)","g3891.pdb","false","g3891.pdb","Mchit"
"7","candidate secreted effector Minc12024","","","g388.pdb","no IPS match","no IPS match","g388.pdb","false","g388.pdb","Mchit"
"100","unnamed protein product","","C:GO:0016020; C:GO:0016021","g3881.pdb","no GO terms","IPR012674 (G3DSA:2.40.128.GENE3D); PTHR37437 (PANTHER); PTHR37437:SF2 (PANTHER); IPR012674 (SUPERFAMILY)","g3881.pdb","false","g3881.pdb","Mchit"
"4","unnamed protein product","","C:GO:0016020; C:GO:0016021","g3872.pdb","no IPS match","no IPS match","g3872.pdb","false","g3872.pdb","Mchit"
"35","unnamed protein product","","F:GO:0030246","g3867.pdb","F:carbohydrate binding","G3DSA:2.60.120.200 (GENE3D); IPR001079 (PFAM); IPR044156 (PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR013320 (SUPERFAMILY)","g3867.pdb","false","g3867.pdb","Mchit"
"6","unnamed protein product","","","g3865.pdb","no GO terms","mobidb-lite (MOBIDB_LITE)","g3865.pdb","false","g3865.pdb","Mchit"
"79","Hypothetical 18.4 kDa protein T05H10.3 in chromosome II precursor","","C:GO:0016020; C:GO:0016021","g3861.pdb","no GO terms","PTHR34493:SF4 (PANTHER); PTHR34493 (PANTHER); PTHR34493:SF4 (PANTHER); PTHR34493 (PANTHER)","g3861.pdb","false","g3861.pdb","Mchit"
"99","putative esophageal gland cell secretory protein 29","","C:GO:0016020; C:GO:0016021","g3859.pdb","no GO terms","IPR012336 (PFAM); PTHR12289 (PANTHER); cd03054 (CDD)","g3859.pdb","false","g3859.pdb","Mchit"
"66","ancylostoma secreted protein 2","","C:GO:0005576","g384.pdb","no GO terms","IPR014044 (PFAM); IPR035940 (G3DSA:3.40.33.GENE3D); IPR001283 (PANTHER); PTHR10334:SF457 (PANTHER); cd05380 (CDD); IPR035940 (SUPERFAMILY)","g384.pdb","false","g384.pdb","Mchit"
"79","hypothetical protein Mgra_00007526","","C:GO:0016021","g3784.pdb","no GO terms","PTHR34493 (PANTHER); PTHR34493:SF6 (PANTHER)","g3784.pdb","false","g3784.pdb","Mchit"
"7","candidate secreted effector Minc12921","Oxidoreductases","F:GO:0016491; C:GO:0005783; C:GO:0016021","g3764.pdb","no GO terms","PF13899 (PFAM); G3DSA:3.40.30.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR15337 (PANTHER); IPR013766 (PROSITE_PROFILES); IPR037462 (CDD); IPR036249 (SUPERFAMILY)","g3764.pdb","false","g3764.pdb","Mchit"
"14","unnamed protein product","","C:GO:0005892; C:GO:0016020; C:GO:0016021","g3754.pdb","no GO terms","mobidb-lite (MOBIDB_LITE)","g3754.pdb","false","g3754.pdb","Mchit"
"101","chymotrypsin inhibitor-like","","P:GO:0010466; P:GO:0010951; F:GO:0004867; F:GO:0030414; C:GO:0005576","g3739.pdb","no GO terms","IPR002919 (PFAM); G3DSA:2.10.25.10 (GENE3D); IPR036084 (SUPERFAMILY)","g3739.pdb","false","g3739.pdb","Mchit"
"4","candidate secreted effector Minc07254","","C:GO:0005892; C:GO:0016020; C:GO:0016021","g3723.pdb","no IPS match","no IPS match","g3723.pdb","false","g3723.pdb","Mchit"
"35","hypothetical protein Mgra_00009648, partial","","F:GO:0030246","g3702.pdb","F:carbohydrate binding","IPR001079 (PFAM); G3DSA:2.60.120.200 (GENE3D); G3DSA:2.60.120.200 (GENE3D); IPR044156 (PANTHER); PTHR11346:SF80 (PANTHER); IPR001079 (PROSITE_PROFILES); IPR001079 (PROSITE_PROFILES); IPR001079 (CDD); IPR001079 (CDD); IPR013320 (SUPERFAMILY); IPR013320 (SUPERFAMILY)","g3702.pdb","false","g3702.pdb","Mchit"
"7","---NA---","","","g3679.pdb","no IPS match","no IPS match","g3679.pdb","false","g3679.pdb","Mchit"
"5","unnamed protein product","","C:GO:0016020; C:GO:0016021","g3676.pdb","no IPS match","no IPS match","g3676.pdb","false","g3676.pdb","Mchit"
"13","expansin B","","C:GO:0016020","g3625.pdb","no GO terms","IPR036908 (G3DSA:2.40.40.GENE3D); IPR009009 (PFAM); PTHR31836 (PANTHER); IPR036908 (SUPERFAMILY)","g3625.pdb","false","g3625.pdb","Mchit"
"5","unnamed protein product","","C:GO:0016020; C:GO:0016021","g3620.pdb","no GO terms","mobidb-lite (MOBIDB_LITE)","g3620.pdb","false","g3620.pdb","Mchit"
"16","carboxypeptidase inhibitor SmCI-like","","P:GO:0010466; F:GO:0004867; C:GO:0110165","g360.pdb","F:serine-type endopeptidase inhibitor activity","IPR002223 (PRINTS); IPR036880 (G3DSA:4.10.410.GENE3D); IPR002223 (PFAM); PTHR10083:SF217 (PANTHER); PTHR10083 (PANTHER); PTHR10083 (PANTHER); PTHR10083:SF217 (PANTHER); IPR002223 (PROSITE_PROFILES); IPR002223 (PROSITE_PROFILES); IPR002223 (PROSITE_PROFILES); IPR002223 (CDD); IPR002223 (CDD); IPR002223 (CDD); IPR036880 (SUPERFAMILY); IPR036880 (SUPERFAMILY); IPR036880 (SUPERFAMILY)","g360.pdb","false","g360.pdb","Mchit"
"79","unnamed protein product","","C:GO:0016020; C:GO:0016021","g3602.pdb","no GO terms","PTHR34493 (PANTHER)","g3602.pdb","false","g3602.pdb","Mchit"
"96","endothelin-converting enzyme 1","","P:GO:0006508; F:GO:0004222","g358.pdb","P:proteolysis; F:metalloendopeptidase activity; F:metallopeptidase activity","IPR008753 (PFAM); IPR018497 (PFAM); IPR024079 (G3DSA:3.40.390.GENE3D); IPR042089 (G3DSA:1.10.1380.GENE3D); PTHR11733:SF216 (PANTHER); IPR000718 (PANTHER); IPR000718 (PROSITE_PROFILES); SSF55486 (SUPERFAMILY)","g358.pdb","false","g358.pdb","Mchit"
"6","hypothetical protein Mgra_00007986","","","g3563.pdb","no IPS match","no IPS match","g3563.pdb","false","g3563.pdb","Mchit"
"5","---NA---","","","g3562.pdb","no IPS match","no IPS match","g3562.pdb","false","g3562.pdb","Mchit"
"102","Saposin B-type domain-containing protein","","","g3510.pdb","no GO terms","G3DSA:1.10.225.10 (GENE3D); IPR008139 (PROSITE_PROFILES); IPR011001 (SUPERFAMILY)","g3510.pdb","false","g3510.pdb","Mchit"
"10","Cathepsin B","Acting on peptide bonds (peptidases)","P:GO:0006508; F:GO:0008234","g3457.pdb","P:proteolysis; F:cysteine-type peptidase activity","IPR000668 (PRINTS); IPR000668 (PFAM); G3DSA:3.90.70.10 (GENE3D); PTHR12411 (PANTHER); PTHR12411:SF737 (PANTHER); cd02620 (CDD); IPR038765 (SUPERFAMILY)","g3457.pdb","false","g3457.pdb","Mchit"
"58","Proteinase inhibitor I33, aspin domain-containing protein","","C:GO:0005576","g3443.pdb","no GO terms","IPR038412 (G3DSA:3.30.1120.GENE3D); IPR010480 (PFAM); IPR038412 (G3DSA:3.30.1120.GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR37969 (PANTHER); SSF55149 (SUPERFAMILY)","g3443.pdb","false","g3443.pdb","Mchit"
"33","Beta-1,4-endoglucanase","Glycosylases","P:GO:0071704; F:GO:0004553","g3428.pdb","P:organic substance metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds","IPR001547 (PFAM); G3DSA:3.20.20.80 (GENE3D); IPR017853 (SUPERFAMILY)","g3428.pdb","false","g3428.pdb","Mchit"
"92","Beta-1,4-endoglucanase","Glycosylases","P:GO:0005975; F:GO:0004553; F:GO:0030247","g3420.pdb","P:organic substance metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:carbohydrate binding; F:polysaccharide binding","IPR001547 (PFAM); IPR012291 (G3DSA:2.60.40.GENE3D); G3DSA:3.20.20.80 (GENE3D); mobidb-lite (MOBIDB_LITE); IPR017853 (SUPERFAMILY); IPR008965 (SUPERFAMILY)","g3420.pdb","false","g3420.pdb","Mchit"
"33","beta-1,4-endoglucanase","Glycosylases","P:GO:0000272; F:GO:0004553; F:GO:0030247","g3419.pdb","P:organic substance metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:carbohydrate binding; F:polysaccharide binding","IPR001547 (PFAM); G3DSA:3.20.20.80 (GENE3D); IPR012291 (G3DSA:2.60.40.GENE3D); mobidb-lite (MOBIDB_LITE); IPR017853 (SUPERFAMILY); IPR008965 (SUPERFAMILY)","g3419.pdb","false","g3419.pdb","Mchit"
"13","cellulose binding protein precursor","Glycosylases","P:GO:0005975; F:GO:0004553; F:GO:0030247","g3418.pdb","F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:carbohydrate binding; F:polysaccharide binding","IPR012291 (G3DSA:2.60.40.GENE3D); IPR019028 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); IPR008965 (SUPERFAMILY)","g3418.pdb","false","g3418.pdb","Mchit"
"6","DUF148 domain-containing protein","","","g3403.pdb","no GO terms","IPR003677 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g3403.pdb","false","g3403.pdb","Mchit"
"2","unnamed protein product","","","g3368.pdb","no IPS match","no IPS match","g3368.pdb","false","g3368.pdb","Mchit"
"4","hypothetical protein Mgra_00003427","","","g3358.pdb","no IPS match","no IPS match","g3358.pdb","false","g3358.pdb","Mchit"
"9","Tyrosinase_Cu-bd domain-containing protein","Oxidoreductases","P:GO:0042438; F:GO:0005507; F:GO:0016716","g334.pdb","P:melanin biosynthetic process; F:copper ion binding; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen","IPR002227 (PRINTS); IPR008922 (G3DSA:1.10.1280.GENE3D); IPR002227 (PFAM); IPR015559 (PTHR11474:PANTHER); PTHR11474 (PANTHER); IPR008922 (SUPERFAMILY)","g334.pdb","false","g334.pdb","Mchit"
"4","---NA---","","","g333.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g333.pdb","false","g333.pdb","Mchit"
"4","---NA---","","","g332.pdb","no IPS match","no IPS match","g332.pdb","false","g332.pdb","Mchit"
"4","---NA---","","","g326.pdb","no GO terms","mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)","g326.pdb","false","g326.pdb","Mchit"
"24","acetylcholine receptor DEG-3-like protein","Translocases","P:GO:0034220; F:GO:0004888; F:GO:0005230; C:GO:0016021","g3246.pdb","P:ion transport; P:ion transmembrane transport; F:transmembrane signaling receptor activity; F:ion channel activity; F:extracellular ligand-gated ion channel activity; C:integral component of membrane","IPR006201 (PRINTS); IPR006202 (PFAM); IPR006029 (PFAM); IPR036734 (G3DSA:2.70.170.GENE3D); G3DSA:1.20.58.390 (GENE3D); IPR006201 (PANTHER); PTHR18945:SF472 (PANTHER); cd18997 (CDD); cd19051 (CDD); IPR036734 (SUPERFAMILY); IPR036719 (SUPERFAMILY)","g3246.pdb","false","g3246.pdb","Mchit"
"2","unnamed protein product","","","g3243.pdb","no IPS match","no IPS match","g3243.pdb","false","g3243.pdb","Mchit"
"103","MD-2-related lipid-recognition domain and Immunoglobulin E-set domain-containing protein","","","g3238.pdb","no GO terms","IPR003172 (PFAM); G3DSA:2.60.40.770 (GENE3D); PTHR11306:SF30 (PANTHER); IPR039670 (PANTHER); IPR014756 (SUPERFAMILY)","g3238.pdb","false","g3238.pdb","Mchit"
