From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	WormBase
O16353	O16353	unreviewed	O16353_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_F13H6.5 F13H6.5	Caenorhabditis elegans	416	F13H6.5;
O16363	O16363	unreviewed	O16363_CAEEL	CX domain-containing protein	CELE_R02F11.2 R02F11.2	Caenorhabditis elegans	239	R02F11.2;
O16373	O16373	unreviewed	O16373_CAEEL	Secreted protein	CELE_F29G9.1 F29G9.1	Caenorhabditis elegans	96	F29G9.1;
O16381	O16381	unreviewed	O16381_CAEEL	Uncharacterized protein	CELE_K12B6.4 K12B6.4	Caenorhabditis elegans	203	K12B6.4;
O16383	O16383	unreviewed	O16383_CAEEL	Serpentine Receptor, class N	srn-1 CELE_K12B6.5 K12B6.5	Caenorhabditis elegans	361	K12B6.5;
O16394	O16394	unreviewed	O16394_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-9 C17E7.3 CELE_C17E7.3	Caenorhabditis elegans	325	C17E7.3a;
O16396	O16396	unreviewed	O16396_CAEEL	Seven TM Receptor	str-229 C17E7.11 CELE_C17E7.11	Caenorhabditis elegans	340	C17E7.11;
O16397	O16397	unreviewed	O16397_CAEEL	Serpentine Receptor, class H	srh-190 C17E7.2 CELE_C17E7.2	Caenorhabditis elegans	333	C17E7.2;
O16403	O16403	unreviewed	O16403_CAEEL	Serpentine Receptor, class AB (Class A-like)	srab-6 C36C5.10 CELE_C36C5.10	Caenorhabditis elegans	330	C36C5.10;
O16404	O16404	unreviewed	O16404_CAEEL	Serpentine Receptor, class AB (Class A-like)	srab-7 C36C5.11 CELE_C36C5.11	Caenorhabditis elegans	330	C36C5.11a;
O16411	O16411	unreviewed	O16411_CAEEL	Serpentine Receptor, class BC (Class B-like)	srbc-6 C36C5.3 CELE_C36C5.3	Caenorhabditis elegans	295	C36C5.3;
O16412	O16412	unreviewed	O16412_CAEEL	Serpentine Receptor, class AB (Class A-like)	srab-8 C36C5.2 CELE_C36C5.2	Caenorhabditis elegans	330	C36C5.2a;
O16415	O16415	unreviewed	O16415_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-134 CELE_T05B4.7 T05B4.7	Caenorhabditis elegans	348	T05B4.7;
O16416	O16416	unreviewed	O16416_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-133 CELE_T05B4.6 T05B4.6	Caenorhabditis elegans	372	T05B4.6;
O16429	O16429	unreviewed	O16429_CAEEL	Uncharacterized protein	C02E7.8 CELE_C02E7.8	Caenorhabditis elegans	86	C02E7.8;
O16430	O16430	unreviewed	O16430_CAEEL	Serpentine Receptor, class H	srh-23 C02E7.5 CELE_C02E7.5	Caenorhabditis elegans	321	C02E7.5;
O16432	O16432	unreviewed	O16432_CAEEL	Serpentine Receptor, class H	srh-20 C02E7.3 CELE_C02E7.3	Caenorhabditis elegans	322	C02E7.3;
O16433	O16433	unreviewed	O16433_CAEEL	Serpentine Receptor, class H	srh-21 C02E7.2 CELE_C02E7.2	Caenorhabditis elegans	330	C02E7.2;
O16434	O16434	unreviewed	O16434_CAEEL	Seven TM Receptor	str-205 C02E7.9 CELE_C02E7.9	Caenorhabditis elegans	345	C02E7.9;
O16439	O16439	unreviewed	O16439_CAEEL	Seven TM Receptor	str-211 C02E7.13 CELE_C02E7.13	Caenorhabditis elegans	349	C02E7.13;
O16444	O16444	reviewed	SRB18_CAEEL	Serpentine receptor class beta-18 (Protein srb-18)	srb-18 C54F6.7	Caenorhabditis elegans	363	C54F6.7;
O16447	O16447	unreviewed	O16447_CAEEL	Uncharacterized protein	C54F6.5 CELE_C54F6.5	Caenorhabditis elegans	56	C54F6.5;
O16451	O16451	unreviewed	O16451_CAEEL	Serpentine Receptor, class H	srh-268 C54F6.1 CELE_C54F6.1	Caenorhabditis elegans	334	C54F6.1;
O16453	O16453	unreviewed	O16453_CAEEL	Ferritin (EC 1.16.3.1)	ftn-1 C54F6.14 CELE_C54F6.14	Caenorhabditis elegans	170	C54F6.14;
O16458	O16458	unreviewed	O16458_CAEEL	Related to yeast Vacuolar Protein Sorting factor	vps-60 CELE_F41E6.9 F41E6.9	Caenorhabditis elegans	217	F41E6.9;
O16470	O16470	unreviewed	O16470_CAEEL	Serpentine Receptor, class T	srt-15 C50H11.10 CELE_C50H11.10	Caenorhabditis elegans	337	C50H11.10;
O16471	O16471	unreviewed	O16471_CAEEL	Serpentine Receptor, class T	srt-16 C50H11.11 CELE_C50H11.11	Caenorhabditis elegans	301	C50H11.11;
O16474	O16474	unreviewed	O16474_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	C50H11.13 CELE_C50H11.13	Caenorhabditis elegans	350	C50H11.13;
O16489	O16489	unreviewed	O16489_CAEEL	Serpentine Receptor, class T	srt-69 B0238.8 CELE_B0238.8	Caenorhabditis elegans	295	B0238.8;
O16491	O16491	unreviewed	O16491_CAEEL	Serpentine Receptor, class T	srt-70 B0238.6 CELE_B0238.6	Caenorhabditis elegans	323	B0238.6;
O16492	O16492	unreviewed	O16492_CAEEL	Serpentine Receptor, class T	srt-67 B0238.5 CELE_B0238.5	Caenorhabditis elegans	311	B0238.5a;
O16494	O16494	unreviewed	O16494_CAEEL	Serpentine Receptor, class T	srt-68 B0238.3 CELE_B0238.3	Caenorhabditis elegans	280	B0238.3;
O16498	O16498	unreviewed	O16498_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srx-38 C03A7.5 CELE_C03A7.5	Caenorhabditis elegans	294	C03A7.5;
O16499	O16499	unreviewed	O16499_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srx-39 C03A7.6 CELE_C03A7.6	Caenorhabditis elegans	290	C03A7.6;
O16503	O16503	unreviewed	O16503_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-140 C03A7.3 CELE_C03A7.3	Caenorhabditis elegans	379	C03A7.3;
O16504	O16504	unreviewed	O16504_CAEEL	Serpentine Receptor, class T	srt-64 C03A7.9 CELE_C03A7.9	Caenorhabditis elegans	312	C03A7.9;
O16505	O16505	unreviewed	O16505_CAEEL	Serpentine Receptor, class T	srt-65 C03A7.10 CELE_C03A7.10	Caenorhabditis elegans	266	C03A7.10;
O16517	O16517	unreviewed	O16517_CAEEL	ATP synthase-coupling factor 6, mitochondrial	atp-4 CELE_T05H4.12 T05H4.12	Caenorhabditis elegans	129	T05H4.12;
O16533	O16533	unreviewed	O16533_CAEEL	Uncharacterized protein	C17A2.4 CELE_C17A2.4	Caenorhabditis elegans	348	C17A2.4;
O16591	O16591	unreviewed	O16591_CAEEL	Serpentine Receptor, class I	sri-77 CELE_D2062.9 D2062.9	Caenorhabditis elegans	324	D2062.9;
O16594	O16594	unreviewed	O16594_CAEEL	Serpentine Receptor, class I	sri-38 CELE_D2062.8 D2062.8	Caenorhabditis elegans	327	D2062.8;
O16595	O16595	unreviewed	O16595_CAEEL	MS Related Protein	msrp-5 CELE_D2062.7 D2062.7	Caenorhabditis elegans	134	D2062.7;
O16596	O16596	unreviewed	O16596_CAEEL	MS Related Protein	msrp-6 CELE_D2062.6 D2062.6	Caenorhabditis elegans	90	D2062.6;
O16597	O16597	unreviewed	O16597_CAEEL	Uncharacterized protein	CELE_D2062.5 D2062.5	Caenorhabditis elegans	116	D2062.5;
O16599	O16599	unreviewed	O16599_CAEEL	Serpentine Receptor, class I	sri-71 CELE_D2062.3 D2062.3	Caenorhabditis elegans	320	D2062.3;
O16600	O16600	unreviewed	O16600_CAEEL	Serpentine Receptor, class I	sri-37 CELE_D2062.2 D2062.2	Caenorhabditis elegans	330	D2062.2;
O16608	O16608	unreviewed	O16608_CAEEL	Serpentine Receptor, class H	srh-250 C49D10.3 CELE_C49D10.3	Caenorhabditis elegans	324	C49D10.3;
O16626	O16626	unreviewed	O16626_CAEEL	C-terminal of ANKyrin repeat domain-containing protein twenty six	cank-26 CELE_K10G6.4 K10G6.4	Caenorhabditis elegans	459	K10G6.4;
O16650	O16650	unreviewed	O16650_CAEEL	Uncharacterized protein	CELE_T06D4.2 T06D4.2	Caenorhabditis elegans	169	T06D4.2;
O16655	O16655	unreviewed	O16655_CAEEL	Seven TM Receptor	C03H5.7 CELE_C03H5.7	Caenorhabditis elegans	314	C03H5.7a;
O16687	O16687	unreviewed	O16687_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	frpr-14 CELE_K07E8.5 K07E8.5	Caenorhabditis elegans	349	K07E8.5;
O16690	O16690	unreviewed	O16690_CAEEL	Serpentine Receptor, class I	sri-45 CELE_K07E8.9 K07E8.9	Caenorhabditis elegans	340	K07E8.9;
O16693	O16693	unreviewed	O16693_CAEEL	Serpentine Receptor, class I	sri-46 CELE_K07E8.11 K07E8.11	Caenorhabditis elegans	343	K07E8.11a;
O16698	O16698	unreviewed	O16698_CAEEL	MFS domain-containing protein	CELE_T28C12.1 T28C12.1	Caenorhabditis elegans	474	T28C12.1;
O16705	O16705	unreviewed	O16705_CAEEL	Uncharacterized protein	CELE_F22E5.9 F22E5.9	Caenorhabditis elegans	159	F22E5.9;
O16714	O16714	unreviewed	O16714_CAEEL	Serpentine Receptor, class I	sri-47 CELE_F22E5.4 F22E5.4	Caenorhabditis elegans	325	F22E5.4;
O16718	O16718	unreviewed	O16718_CAEEL	Serpentine Receptor, class I	sri-57 CELE_F22E5.16 F22E5.16	Caenorhabditis elegans	330	F22E5.16;
O16782	O16782	unreviewed	O16782_CAEEL	Serpentine Receptor, class H	srh-282 CELE_T21D12.5 T21D12.5	Caenorhabditis elegans	268	T21D12.5;
O16896	O16896	unreviewed	O16896_CAEEL	Uncharacterized protein	CELE_F13A2.1 F13A2.1	Caenorhabditis elegans	68	F13A2.1;
O16898	O16898	unreviewed	O16898_CAEEL	Protein containing ALS2cr12 (ALS2CR12) signature	pals-32 C31B8.4 CELE_C31B8.4	Caenorhabditis elegans	380	C31B8.4;
O16906	O16906	unreviewed	O16906_CAEEL	Serpentine Receptor, class H	srh-38 C31B8.11 CELE_C31B8.11	Caenorhabditis elegans	345	C31B8.11a;
O16908	O16908	unreviewed	O16908_CAEEL	Serpentine Receptor, class I	C31B8.1 CELE_C31B8.1	Caenorhabditis elegans	229	C31B8.1;
O16909	O16909	unreviewed	O16909_CAEEL	Serpentine Receptor, class H	srh-247 C31B8.13 CELE_C31B8.13	Caenorhabditis elegans	325	C31B8.13;
O16932	O16932	unreviewed	O16932_CAEEL	Seven TM Receptor	str-207 CELE_F26G5.4 F26G5.4	Caenorhabditis elegans	346	F26G5.4;
O16935	O16935	unreviewed	O16935_CAEEL	Seven TM Receptor	str-208 CELE_F26G5.2 F26G5.2	Caenorhabditis elegans	347	F26G5.2;
O16937	O16937	unreviewed	O16937_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srsx-9 CELE_F26G5.10 F26G5.10	Caenorhabditis elegans	293	F26G5.10;
O16942	O16942	unreviewed	O16942_CAEEL	Serpentine Receptor, class BC (Class B-like)	srbc-13 CELE_K09C6.5 K09C6.5	Caenorhabditis elegans	256	K09C6.5;
O16943	O16943	unreviewed	O16943_CAEEL	Serpentine Receptor, class BC (Class B-like)	srbc-12 CELE_K09C6.4 K09C6.4	Caenorhabditis elegans	293	K09C6.4a;
O16944	O16944	unreviewed	O16944_CAEEL	Neuropeptide-Like Protein	CELE_K09C6.3 K09C6.3	Caenorhabditis elegans	94	K09C6.3a;
O16948	O16948	unreviewed	O16948_CAEEL	DUF148 domain-containing protein	pqn-60 srlf-35 CELE_R11G11.7 R11G11.7	Caenorhabditis elegans	154	R11G11.7;
O16949	O16949	unreviewed	O16949_CAEEL	DUF148 domain-containing protein	CELE_R11G11.6 R11G11.6	Caenorhabditis elegans	146	R11G11.6;
O16951	O16951	unreviewed	O16951_CAEEL	Serpentine Receptor, class H	srh-37 CELE_R11G11.9 R11G11.9	Caenorhabditis elegans	345	R11G11.9;
O16955	O16955	unreviewed	O16955_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-107 CELE_R11G11.13 R11G11.13	Caenorhabditis elegans	366	R11G11.13;
O16957	O16957	unreviewed	O16957_CAEEL	Serpentine Receptor, class W	srw-108 CELE_R11G11.5 R11G11.5	Caenorhabditis elegans	196	R11G11.5;
O16974	O16974	reviewed	SRG53_CAEEL	Serpentine receptor class gamma-53 (Protein srg-53)	srg-53 T02B11.1	Caenorhabditis elegans	295	T02B11.1;
O16975	O16975	reviewed	SRJ38_CAEEL	Serpentine receptor class J-38 (Protein srj-38)	srj-38 T02B11.5	Caenorhabditis elegans	330	T02B11.5;
O16978	O16978	unreviewed	O16978_CAEEL	Serpentine Receptor, class H	srh-36 CELE_T03D3.4 T03D3.4	Caenorhabditis elegans	346	T03D3.4;
O16980	O16980	unreviewed	O16980_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-2 CELE_T03D3.3 T03D3.3	Caenorhabditis elegans	373	T03D3.3;
O16981	O16981	unreviewed	O16981_CAEEL	Serpentine Receptor, class J	srj-50 CELE_T03D3.2 T03D3.2	Caenorhabditis elegans	335	T03D3.2;
O16982	O16982	unreviewed	O16982_CAEEL	Serpentine Receptor, class J	srj-45 CELE_T03D3.6 T03D3.6	Caenorhabditis elegans	328	T03D3.6;
O16986	O16986	unreviewed	O16986_CAEEL	Serpentine Receptor, class J	srj-44 CELE_T03D3.11 T03D3.11	Caenorhabditis elegans	350	T03D3.11;
O16987	O16987	unreviewed	O16987_CAEEL	Serpentine Receptor, class J	srj-49 CELE_T03D3.12 T03D3.12	Caenorhabditis elegans	330	T03D3.12;
O16990	O16990	unreviewed	O16990_CAEEL	Serpentine Receptor, class J	srj-57 CELE_T03D3.14 T03D3.14	Caenorhabditis elegans	332	T03D3.14;
O16993	O16993	unreviewed	O16993_CAEEL	Serpentine Receptor, class H	srh-82 CELE_W03F9.6 W03F9.6	Caenorhabditis elegans	360	W03F9.6;
O17000	O17000	unreviewed	O17000_CAEEL	Uncharacterized protein	CELE_T23B12.5 T23B12.5	Caenorhabditis elegans	253	T23B12.5;
O17010	O17010	unreviewed	O17010_CAEEL	Serpentine Receptor, class AB (Class A-like)	srab-16 CELE_R13D11.6 R13D11.6	Caenorhabditis elegans	324	R13D11.6a;
O17016	O17016	unreviewed	O17016_CAEEL	Uncharacterized protein	CELE_R13D11.1 R13D11.1	Caenorhabditis elegans	315	R13D11.1;
O17017	O17017	unreviewed	O17017_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-32 CELE_R13D11.9 R13D11.9	Caenorhabditis elegans	298	R13D11.9;
O17021	O17021	unreviewed	O17021_CAEEL	DUF148 domain-containing protein	pqn-98 CELE_ZK488.7 ZK488.7	Caenorhabditis elegans	159	ZK488.7;
O17023	O17023	unreviewed	O17023_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-109 CELE_ZK488.9 ZK488.9	Caenorhabditis elegans	357	ZK488.9;
O17024	O17024	unreviewed	O17024_CAEEL	DUF148 domain-containing protein	pqn-97 CELE_ZK488.10 ZK488.10	Caenorhabditis elegans	156	ZK488.10;
O17030	O17030	unreviewed	O17030_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	dmsr-13 CELE_T15B7.12 T15B7.12	Caenorhabditis elegans	362	T15B7.12;
O17034	O17034	unreviewed	O17034_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	dmsr-15 CELE_T15B7.13 T15B7.13	Caenorhabditis elegans	385	T15B7.13;
O17037	O17037	unreviewed	O17037_CAEEL	Uncharacterized protein	CELE_T15B7.14 T15B7.14	Caenorhabditis elegans	650	T15B7.14;
O17039	O17039	unreviewed	O17039_CAEEL	Uncharacterized protein	CELE_T15B7.15 T15B7.15	Caenorhabditis elegans	375	T15B7.15;
O17040	O17040	reviewed	HACD_CAEEL	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase hpo-8 (EC 4.2.1.134) (Probable 3-hydroxyacyl-CoA dehydratase)	hpo-8 T15B7.2	Caenorhabditis elegans	218	T15B7.2;
O17058	O17058	reviewed	FLP24_CAEEL	FMRFamide-like neuropeptides 24 [Cleaved into: VPSAGDMMVRF-amide]	flp-24 C24A1.1	Caenorhabditis elegans	69	C24A1.1;
O17077	O17077	unreviewed	O17077_CAEEL	Serpentine Receptor, class U	sru-27 C38C3.2 CELE_C38C3.2	Caenorhabditis elegans	336	C38C3.2;
O17080	O17080	unreviewed	O17080_CAEEL	Serpentine Receptor, class U	sru-28 C38C3.1 CELE_C38C3.1	Caenorhabditis elegans	332	C38C3.1;
O17089	O17089	unreviewed	O17089_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-101 CELE_F40H7.4 F40H7.4	Caenorhabditis elegans	318	F40H7.4;
O17091	O17091	unreviewed	O17091_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-102 CELE_F40H7.5 F40H7.5	Caenorhabditis elegans	321	F40H7.5;
O17092	O17092	unreviewed	O17092_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-104 CELE_F40H7.7 F40H7.7	Caenorhabditis elegans	279	F40H7.7;
O17093	O17093	unreviewed	O17093_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-105 CELE_F40H7.8 F40H7.8	Caenorhabditis elegans	305	F40H7.8;
O17096	O17096	unreviewed	O17096_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-108 CELE_F40H7.2 F40H7.2	Caenorhabditis elegans	310	F40H7.2;
O17111	O17111	unreviewed	O17111_CAEEL	Serpentine Receptor, class I	sri-63 CELE_F39E9.3 F39E9.3	Caenorhabditis elegans	334	F39E9.3;
O17115	O17115	unreviewed	O17115_CAEEL	Uncharacterized protein	CELE_F39E9.6 F39E9.6	Caenorhabditis elegans	70	F39E9.6;
O17119	O17119	unreviewed	O17119_CAEEL	Uncharacterized protein	CELE_M151.2 M151.2	Caenorhabditis elegans	582	M151.2;
O17126	O17126	unreviewed	O17126_CAEEL	Serpentine Receptor, class H	srh-245 CELE_F31F4.9 F31F4.9	Caenorhabditis elegans	330	F31F4.9;
O17127	O17127	unreviewed	O17127_CAEEL	Uncharacterized protein	CELE_F31F4.17 F31F4.17	Caenorhabditis elegans	385	F31F4.17;
O17129	O17129	unreviewed	O17129_CAEEL	Uncharacterized protein	CELE_F31F4.11 F31F4.11	Caenorhabditis elegans	356	F31F4.11a;
O17130	O17130	unreviewed	O17130_CAEEL	Serpentine Receptor, class H	srh-266 CELE_F31F4.6 F31F4.6	Caenorhabditis elegans	327	F31F4.6;
O17132	O17132	unreviewed	O17132_CAEEL	Serpentine Receptor, class U	sru-24 CELE_F31F4.13 F31F4.13	Caenorhabditis elegans	325	F31F4.13a;
O17134	O17134	unreviewed	O17134_CAEEL	Serpentine Receptor, class U	sru-25 CELE_F31F4.14 F31F4.14	Caenorhabditis elegans	329	F31F4.14a;
O17136	O17136	unreviewed	O17136_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srx-21 CELE_F31F4.4 F31F4.4	Caenorhabditis elegans	294	F31F4.4;
O17137	O17137	unreviewed	O17137_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-22 CELE_F31F4.3 F31F4.3	Caenorhabditis elegans	294	F31F4.3;
O17138	O17138	unreviewed	O17138_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-23 CELE_F31F4.2 F31F4.2	Caenorhabditis elegans	294	F31F4.2;
O17168	O17168	unreviewed	O17168_CAEEL	Uncharacterized protein	B0454.5 CELE_B0454.5	Caenorhabditis elegans	198	B0454.5;
O17170	O17170	unreviewed	O17170_CAEEL	Serpentine Receptor, class I	sri-29 B0454.4 CELE_B0454.4	Caenorhabditis elegans	336	B0454.4;
O17171	O17171	unreviewed	O17171_CAEEL	Serpentine Receptor, class I	sri-28 B0454.3 CELE_B0454.3	Caenorhabditis elegans	335	B0454.3;
O17172	O17172	unreviewed	O17172_CAEEL	Serpentine Receptor, class I	sri-31 B0454.2 CELE_B0454.2	Caenorhabditis elegans	324	B0454.2;
O17181	O17181	unreviewed	O17181_CAEEL	Uncharacterized protein	C08F1.8 CELE_C08F1.8	Caenorhabditis elegans	277	C08F1.8;
O17210	O17210	unreviewed	O17210_CAEEL	Coiled-coil domain-containing protein 86	C01B12.8 CELE_C01B12.8	Caenorhabditis elegans	153	C01B12.8;
O17220	O17220	unreviewed	O17220_CAEEL	MARVEL domain-containing protein	CELE_F53A3.1 F53A3.1	Caenorhabditis elegans	156	F53A3.1;
O17230	O17230	unreviewed	O17230_CAEEL	Seven TM Receptor	str-148 CELE_M01D1.1 M01D1.1	Caenorhabditis elegans	330	M01D1.1a;
O17239	O17239	unreviewed	O17239_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	nmur-2 CELE_K10B4.4 K10B4.4	Caenorhabditis elegans	403	K10B4.4;
O17257	O17257	unreviewed	O17257_CAEEL	Uncharacterized protein	CELE_K02E7.11 K02E7.11	Caenorhabditis elegans	136	K02E7.11;
O17270	O17270	unreviewed	O17270_CAEEL	Uncharacterized protein	CELE_R148.7 R148.7	Caenorhabditis elegans	228	R148.7;
O17284	O17284	unreviewed	O17284_CAEEL	Uncharacterized protein	CELE_W10D9.1 W10D9.1	Caenorhabditis elegans	64	W10D9.1;
O17287	O17287	reviewed	TOM22_CAEEL	Mitochondrial import receptor subunit TOM22 homolog	tomm-22 W10D9.5	Caenorhabditis elegans	109	W10D9.5a [O17287-1];W10D9.5b [O17287-2];
O17292	O17292	unreviewed	O17292_CAEEL	Serpentine Receptor, class H	srh-195 CELE_R52.7 R52.7	Caenorhabditis elegans	334	R52.7;
O17326	O17326	unreviewed	O17326_CAEEL	Uncharacterized protein	C10E2.5 CELE_C10E2.5	Caenorhabditis elegans	258	C10E2.5;
O17346	O17346	unreviewed	O17346_CAEEL	Uncharacterized protein	hic-1 CELE_T28B4.4 T28B4.4	Caenorhabditis elegans	167	T28B4.4;
O17354	O17354	unreviewed	O17354_CAEEL	Serpentine Receptor, class J	srj-25 C05E4.10 CELE_C05E4.10	Caenorhabditis elegans	344	C05E4.10;
O17355	O17355	unreviewed	O17355_CAEEL	Serpentine Receptor, class J	srj-24 C05E4.11 CELE_C05E4.11	Caenorhabditis elegans	340	C05E4.11;
O17358	O17358	unreviewed	O17358_CAEEL	Seven TM Receptor	str-134 C05E4.6 CELE_C05E4.6	Caenorhabditis elegans	328	C05E4.6a;
O17386	O17386	reviewed	CED8_CAEEL	Cell death abnormality protein 8	ced-8 F08F1.5	Caenorhabditis elegans	458	F08F1.5;
O17390	O17390	unreviewed	O17390_CAEEL	Uncharacterized protein	CELE_F08F1.3 F08F1.3	Caenorhabditis elegans	114	F08F1.3;
O17400	O17400	unreviewed	O17400_CAEEL	Serpentine Receptor, class H	srh-83 CELE_F09G2.7 F09G2.7	Caenorhabditis elegans	352	F09G2.7;
O17515	O17515	unreviewed	O17515_CAEEL	Serpentine Receptor, class Z	CELE_ZC132.3 ZC132.3	Caenorhabditis elegans	316	ZC132.3;
O17520	O17520	unreviewed	O17520_CAEEL	Serpentine Receptor, class H	srh-192 CELE_ZC132.7 ZC132.7	Caenorhabditis elegans	343	ZC132.7;
O17523	O17523	unreviewed	O17523_CAEEL	Serpentine Receptor, class U	CELE_ZC132.9 ZC132.9	Caenorhabditis elegans	311	ZC132.9;
O17528	O17528	reviewed	TMED2_CAEEL	Suppressor/enhancer of lin-12 protein 9	sel-9 W02D7.7	Caenorhabditis elegans	203	W02D7.7;
O17557	O17557	unreviewed	O17557_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	C03E10.1 CELE_C03E10.1	Caenorhabditis elegans	309	C03E10.1;
O17559	O17559	unreviewed	O17559_CAEEL	Uncharacterized protein	C03E10.3 CELE_C03E10.3	Caenorhabditis elegans	334	C03E10.3;
O17571	O17571	unreviewed	O17571_CAEEL	Seven TM Receptor	str-264 C06B8.4 CELE_C06B8.4	Caenorhabditis elegans	306	C06B8.4;
O17572	O17572	unreviewed	O17572_CAEEL	Serpentine Receptor, class H	srh-219 C06B8.6 CELE_C06B8.6	Caenorhabditis elegans	346	C06B8.6;
O17602	O17602	unreviewed	O17602_CAEEL	Uncharacterized protein	C25D7.10 CELE_C25D7.10	Caenorhabditis elegans	230	C25D7.10;
O17615	O17615	unreviewed	O17615_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srx-58 C29F3.6 CELE_C29F3.6	Caenorhabditis elegans	211	C29F3.6;
O17629	O17629	unreviewed	O17629_CAEEL	Uncharacterized protein	C31G12.1 CELE_C31G12.1	Caenorhabditis elegans	199	C31G12.1;
O17633	O17633	unreviewed	O17633_CAEEL	Serpentine Receptor, class U	sru-2 C33A12.13 CELE_C33A12.13	Caenorhabditis elegans	338	C33A12.13;
O17634	O17634	unreviewed	O17634_CAEEL	Serpentine Receptor, class U	sru-1 C33A12.14 CELE_C33A12.14	Caenorhabditis elegans	329	C33A12.14;
O17656	O17656	unreviewed	O17656_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-15 C41G6.3 CELE_C41G6.3	Caenorhabditis elegans	376	C41G6.3;
O17658	O17658	unreviewed	O17658_CAEEL	Serpentine Receptor, class I	sri-25 C41G6.10 CELE_C41G6.10	Caenorhabditis elegans	323	C41G6.10;
O17660	O17660	unreviewed	O17660_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-24 C41G6.7 CELE_C41G6.7	Caenorhabditis elegans	390	C41G6.7;
O17663	O17663	unreviewed	O17663_CAEEL	Serpentine Receptor, class I	sri-24 C41G6.11 CELE_C41G6.11	Caenorhabditis elegans	322	C41G6.11;
O17664	O17664	unreviewed	O17664_CAEEL	Seven TM Receptor	C41G6.12 CELE_C41G6.12	Caenorhabditis elegans	215	C41G6.12;
O17682	O17682	unreviewed	O17682_CAEEL	Uncharacterized protein	C49F5.3 CELE_C49F5.3	Caenorhabditis elegans	208	C49F5.3;
O17691	O17691	unreviewed	O17691_CAEEL	Seven TM Receptor	str-37 C50B6.12 CELE_C50B6.12	Caenorhabditis elegans	329	C50B6.12;
O17697	O17697	unreviewed	O17697_CAEEL	CaMBD domain-containing protein	kcnl-4 C53A5.5 CELE_C53A5.5	Caenorhabditis elegans	485	C53A5.5a;
O17699	O17699	reviewed	SRG47_CAEEL	Serpentine receptor class gamma-47 (Protein srg-47)	srg-47 C53A5.8	Caenorhabditis elegans	309	C53A5.8;
O17701	O17701	unreviewed	O17701_CAEEL	Serpentine Receptor, class T	srt-32 C53A5.10 CELE_C53A5.10	Caenorhabditis elegans	338	C53A5.10;
O17710	O17710	unreviewed	O17710_CAEEL	Serpentine Receptor, class U	sru-42 C55A1.8 CELE_C55A1.8	Caenorhabditis elegans	337	C55A1.8;
O17711	O17711	unreviewed	O17711_CAEEL	Seven TM Receptor	C55A1.1 CELE_C55A1.1	Caenorhabditis elegans	269	C55A1.1;
O17712	O17712	unreviewed	O17712_CAEEL	DUF148 domain-containing protein	C55A1.6 CELE_C55A1.6	Caenorhabditis elegans	104	C55A1.6;
O17717	O17717	unreviewed	O17717_CAEEL	Seven TM Receptor	str-248 C55A1.3 CELE_C55A1.3	Caenorhabditis elegans	360	C55A1.3;
O17763	O17763	unreviewed	O17763_CAEEL	Uncharacterized protein	CELE_F01G10.5 F01G10.5	Caenorhabditis elegans	824	F01G10.5;
O17765	O17765	unreviewed	O17765_CAEEL	Uncharacterized protein	CELE_F01G10.4 F01G10.4	Caenorhabditis elegans	269	F01G10.4;
O17778	O17778	unreviewed	O17778_CAEEL	Uncharacterized protein	CELE_F10D11.3 F10D11.3	Caenorhabditis elegans	106	F10D11.3;
O17783	O17783	unreviewed	O17783_CAEEL	Uncharacterized protein	CELE_F11A5.13 F11A5.13	Caenorhabditis elegans	165	F11A5.13;
